user_id,cohort,treatment_month,calendar_month,treated,retention
user_1_0,1,3,1,0,51.4901424590337
user_1_0,1,3,2,0,49.58520709648645
user_1_0,1,3,3,1,59.94306561430208
user_1_0,1,3,4,1,62.569089569224076
user_1_0,1,3,5,1,57.29753987582999
user_1_0,1,3,6,1,57.297589129152456
user_1_0,1,3,7,1,62.737638446522176
user_1_0,1,3,8,1,60.302304187458724
user_1_0,1,3,9,1,56.591576842195146
user_1_0,1,3,10,1,59.627680130757895
user_1_0,1,3,11,1,56.60974692156261
user_1_0,1,3,12,1,56.60281073928923
user_1_0,1,3,13,1,58.7258868146981
user_1_0,1,3,14,1,52.260159266026605
user_1_0,1,3,15,1,52.8252465024609
user_1_0,1,3,16,1,56.31313741227708
user_1_0,1,3,17,1,54.96150663899673
user_1_0,1,3,18,1,58.942741997785824
user_1_0,1,3,19,1,55.275927773436365
user_1_0,1,3,20,1,53.76308889599412
user_1_0,1,3,21,1,62.39694630676466
user_1_0,1,3,22,1,57.32267109854039
user_1_0,1,3,23,1,58.202584614063774
user_1_0,1,3,24,1,53.72575544135963
user_1_1,1,3,1,0,48.36685182642445
user_1_1,1,3,2,0,50.332767769129596
user_1_1,1,3,3,1,54.54701926773309
user_1_1,1,3,4,1,59.12709405503701
user_1_1,1,3,5,1,56.198083930243584
user_1_1,1,3,6,1,57.12491875062017
user_1_1,1,3,7,1,56.19488016331181
user_1_1,1,3,8,1,63.55683455352681
user_1_1,1,3,9,1,57.959508325786196
user_1_1,1,3,10,1,54.826867213132296
user_1_1,1,3,11,1,60.46763473630957
user_1_1,1,3,12,1,54.33746905008693
user_1_1,1,3,13,1,58.626590785014265
user_1_1,1,3,14,1,52.120989628360675
user_1_1,1,3,15,1,54.01544185330471
user_1_1,1,3,16,1,58.59058370760737
user_1_1,1,3,17,1,60.21539973998623
user_1_1,1,3,18,1,58.51410484356991
user_1_1,1,3,19,1,57.65305515283528
user_1_1,1,3,20,1,57.096688913232136
user_1_1,1,3,21,1,53.56443402889772
user_1_1,1,3,22,1,55.84046737481587
user_1_1,1,3,23,1,56.61808368712064
user_1_1,1,3,24,1,61.171366678656746
user_1_2,1,3,1,0,51.03085486870538
user_1_2,1,3,2,0,44.7108795339118
user_1_2,1,3,3,1,58.97225190818438
user_1_2,1,3,4,1,56.84475315875105
user_1_2,1,3,5,1,55.96923399908212
user_1_2,1,3,6,1,59.835028866522606
user_1_2,1,3,7,1,61.092998567487854
user_1_2,1,3,8,1,60.79384035734859
user_1_2,1,3,9,1,55.482347430332084
user_1_2,1,3,10,1,57.072362872446355
user_1_2,1,3,11,1,58.99379029421069
user_1_2,1,3,12,1,60.92663538136708
user_1_2,1,3,13,1,56.56247728646413
user_1_2,1,3,14,1,57.44302307000855
user_1_2,1,3,15,1,54.68099507798192
user_1_2,1,3,16,1,54.41138012775799
user_1_2,1,3,17,1,60.43757746718259
user_1_2,1,3,18,1,62.06872008571247
user_1_2,1,3,19,1,57.783969635259
user_1_2,1,3,20,1,61.01059869367607
user_1_2,1,3,21,1,59.084908075142906
user_1_2,1,3,22,1,56.06464073618463
user_1_2,1,3,23,1,59.08418681652524
user_1_2,1,3,24,1,62.61410969939791
user_1_3,1,3,1,0,49.892521882670145
user_1_3,1,3,2,0,54.69393096744202
user_1_3,1,3,3,1,50.140764687730766
user_1_3,1,3,4,1,60.46570751312567
user_1_3,1,3,5,1,58.26114120471451
user_1_3,1,3,6,1,57.1029779486024
user_1_3,1,3,7,1,58.275282329606505
user_1_3,1,3,8,1,52.03729325619732
user_1_3,1,3,9,1,57.340984336487466
user_1_3,1,3,10,1,59.07133771453524
user_1_3,1,3,11,1,62.43368213422455
user_1_3,1,3,12,1,56.44518934517906
user_1_3,1,3,13,1,55.574519191320434
user_1_3,1,3,14,1,56.49472886924639
user_1_3,1,3,15,1,60.746206353106224
user_1_3,1,3,16,1,58.98625332897905
user_1_3,1,3,17,1,56.41071938869889
user_1_3,1,3,18,1,59.53980229934007
user_1_3,1,3,19,1,58.29123264804412
user_1_3,1,3,20,1,60.90593497159867
user_1_3,1,3,21,1,55.89384071836794
user_1_3,1,3,22,1,57.01701356020669
user_1_3,1,3,23,1,56.823675540603524
user_1_3,1,3,24,1,53.60945515560364
user_1_4,1,3,1,0,50.88836083119373
user_1_4,1,3,2,0,50.783165816539665
user_1_4,1,3,3,1,58.01534036992738
user_1_4,1,3,4,1,57.296238599874556
user_1_4,1,3,5,1,53.75388777384876
user_1_4,1,3,6,1,56.73806403170392
user_1_4,1,3,7,1,56.97185645041969
user_1_4,1,3,8,1,55.59316819233514
user_1_4,1,3,9,1,57.516142865001974
user_1_4,1,3,10,1,59.212152570443614
user_1_4,1,3,11,1,63.65855770363159
user_1_4,1,3,12,1,58.52373343849552
user_1_4,1,3,13,1,58.772651172168295
user_1_4,1,3,14,1,57.7766622527015
user_1_4,1,3,15,1,52.24368635410288
user_1_4,1,3,16,1,57.92045837365235
user_1_4,1,3,17,1,58.18069062982308
user_1_4,1,3,18,1,65.38972633745585
user_1_4,1,3,19,1,57.42291710565663
user_1_4,1,3,20,1,58.90464202700084
user_1_4,1,3,21,1,57.89586469088427
user_1_4,1,3,22,1,54.49396588714141
user_1_4,1,3,23,1,61.428468443545064
user_1_4,1,3,24,1,60.25579909806032
user_1_5,1,3,1,0,52.37309584112914
user_1_5,1,3,2,0,47.27183763561578
user_1_5,1,3,3,1,62.2083829328083
user_1_5,1,3,4,1,53.79444681162316
user_1_5,1,3,5,1,59.760571281400814
user_1_5,1,3,6,1,64.57136687742994
user_1_5,1,3,7,1,55.028391024607934
user_1_5,1,3,8,1,56.30110681119169
user_1_5,1,3,9,1,58.29895409526292
user_1_5,1,3,10,1,56.489573037651404
user_1_5,1,3,11,1,53.348009706801605
user_1_5,1,3,12,1,58.205688924418084
user_1_5,1,3,13,1,54.813088858821686
user_1_5,1,3,14,1,59.420777291905544
user_1_5,1,3,15,1,55.24172729729859
user_1_5,1,3,16,1,62.649803215052614
user_1_5,1,3,17,1,55.65024012299129
user_1_5,1,3,18,1,57.03381545138297
user_1_5,1,3,19,1,60.44055165210901
user_1_5,1,3,20,1,54.30740705069813
user_1_5,1,3,21,1,58.68237980381239
user_1_5,1,3,22,1,61.921428262847286
user_1_5,1,3,23,1,53.17755029631632
user_1_5,1,3,24,1,58.55390157559691
user_1_6,1,3,1,0,50.77964838274527
user_1_6,1,3,2,0,52.34546861533193
user_1_6,1,3,3,1,54.289147867365756
user_1_6,1,3,4,1,54.03863016074717
user_1_6,1,3,5,1,59.56582469685069
user_1_6,1,3,6,1,58.89095401969956
user_1_6,1,3,7,1,58.75147855103763
user_1_6,1,3,8,1,59.03934462849093
user_1_6,1,3,9,1,55.95992583526453
user_1_6,1,3,10,1,58.69676109148301
user_1_6,1,3,11,1,58.879217419896044
user_1_6,1,3,12,1,55.856945745920896
user_1_6,1,3,13,1,63.59732353343427
user_1_6,1,3,14,1,59.42149876273536
user_1_6,1,3,15,1,54.42608950839205
user_1_6,1,3,16,1,59.96966082590149
user_1_6,1,3,17,1,55.075954989318035
user_1_6,1,3,18,1,60.36125381122736
user_1_6,1,3,19,1,61.47578673702221
user_1_6,1,3,20,1,55.53795304494487
user_1_6,1,3,21,1,60.890128387732965
user_1_6,1,3,22,1,59.238342780809496
user_1_6,1,3,23,1,60.46618047998347
user_1_6,1,3,24,1,63.69037894796184
user_1_7,1,3,1,0,49.263835651991386
user_1_7,1,3,2,0,47.738791506927534
user_1_7,1,3,3,1,55.33145671112343
user_1_7,1,3,4,1,55.55256914510368
user_1_7,1,3,5,1,57.76869487175769
user_1_7,1,3,6,1,59.023455924449934
user_1_7,1,3,7,1,58.83007239799006
user_1_7,1,3,8,1,60.48154974710807
user_1_7,1,3,9,1,58.039005675633724
user_1_7,1,3,10,1,62.36060223147195
user_1_7,1,3,11,1,57.206029500286135
user_1_7,1,3,12,1,66.16050749976885
user_1_7,1,3,13,1,59.87700204329502
user_1_7,1,3,14,1,55.42852733075115
user_1_7,1,3,15,1,54.78732250581666
user_1_7,1,3,16,1,59.447417245729554
user_1_7,1,3,17,1,57.32961164402245
user_1_7,1,3,18,1,60.14200148227628
user_1_7,1,3,19,1,59.419712873720634
user_1_7,1,3,20,1,57.781513262029385
user_1_7,1,3,21,1,55.459618845794786
user_1_7,1,3,22,1,53.4554583259424
